epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,7,,,,,,,,,,0.4582209587097168,0.4582209587097168,9.98372911453771e-07,1.5848808061491582e-06,0.0,0.0,0.1263139545917511,0.21878021955490112,0.2104451060295105
0,7,0.48443537950515747,0.48443537950515747,4.224631027227588e-07,6.068549396331946e-07,0.0,0.0,0.30509644746780396,0.528441309928894,0.2380383163690567,,,,,,,,,
1,15,,,,,,,,,,0.41173362731933594,0.41173362731933594,1.9554495338525157e-06,3.290632093921886e-06,0.0,0.0,0.04227779433131218,0.07322455197572708,0.1695781946182251
1,15,0.43987786769866943,0.43987786769866943,1.352362005491159e-06,2.1797604858875275e-06,0.0,0.0,0.06592369079589844,0.11418089270591736,0.19381161034107208,,,,,,,,,
2,23,,,,,,,,,,0.3585090637207031,0.3585090637207031,3.2052009828476002e-06,5.445538135973038e-06,0.0,0.0,0.028097033500671387,0.048661623150110245,0.1285524219274521
2,23,0.39059317111968994,0.39059317111968994,2.3995901301532285e-06,3.981512236350682e-06,0.0,0.0,0.06826704740524292,0.1182388886809349,0.15290886163711548,,,,,,,,,
3,31,,,,,,,,,,0.2954730987548828,0.2954730987548828,4.856451596424449e-06,8.218155016948003e-06,0.0,0.0,0.01727287843823433,0.029911639168858528,0.08731330186128616
3,31,0.33339178562164307,0.33339178562164307,3.887578714056872e-06,6.424479579436593e-06,0.0,0.0,0.05747546628117561,0.09954564273357391,0.11155088245868683,,,,,,,,,
4,39,,,,,,,,,,0.2184429168701172,0.2184429168701172,6.712181402690476e-06,1.1269881724729203e-05,0.0,0.0,0.011286113411188126,0.01953916996717453,0.047721125185489655
4,39,0.264723539352417,0.264723539352417,5.479685114551103e-06,9.059459443960804e-06,0.0,0.0,0.04690462723374367,0.0812344178557396,0.07068904489278793,,,,,,,,,
5,47,,,,,,,,,,0.1145477294921875,0.1145477294921875,9.224397217622027e-06,1.5344605344580486e-05,0.0,0.0,0.09747610241174698,0.16881993412971497,0.013406183570623398
5,47,0.17737269401550293,0.17737269401550293,7.685599484830163e-06,1.2591304766829126e-05,0.0,0.0,0.06319310516119003,0.10944247990846634,0.03242804482579231,,,,,,,,,
6,55,,,,,,,,,,0.01630115509033203,0.01630115509033203,1.0433373972773552e-05,1.6947744370554574e-05,0.0,0.0,0.09014631062746048,0.15612278878688812,0.0005094712250865996
6,55,0.06865108013153076,0.06865108013153076,9.771407349035144e-06,1.5833980796742253e-05,0.0,0.0,0.09533752501010895,0.16511520743370056,0.005981796886771917,,,,,,,,,
7,63,,,,,,,,,,0.03197956085205078,0.03197956085205078,1.0538970855122898e-05,1.6753789168433286e-05,0.0,0.0,0.039956916123628616,0.06919144839048386,0.001070567057467997
7,63,0.01503753662109375,0.01503753662109375,1.0409895367047284e-05,1.6510584828210995e-05,0.0,0.0,0.06765879690647125,0.11717314273118973,0.000485498079797253,,,,,,,,,
8,71,,,,,,,,,,0.0174102783203125,0.0174102783203125,8.263671588792931e-06,1.3287806723383255e-05,0.0,0.0,0.05109259486198425,0.0884803980588913,0.0003814057563431561
8,71,0.027801871299743652,0.027801871299743652,9.422924449609127e-06,1.4817564988334198e-05,0.0,0.0,0.08433180302381516,0.14605246484279633,0.0010925709502771497,,,,,,,,,
9,79,,,,,,,,,,0.00986480712890625,0.00986480712890625,6.864086117275292e-06,1.1216714483452961e-05,0.0,0.0,0.08802085369825363,0.1524418741464615,0.0003296997747384012
9,79,0.010874629020690918,0.010874629020690918,7.099924005160574e-06,1.138493917096639e-05,0.0,0.0,0.0425216443836689,0.07363520562648773,0.00022463852656073868,,,,,,,,,
10,87,,,,,,,,,,0.0029020309448242188,0.0029020309448242188,7.630776053701993e-06,1.2177918506495189e-05,0.0,0.0,0.023944955319166183,0.04145824536681175,2.560979191912338e-05
10,87,0.008345246315002441,0.008345246315002441,6.874255177535815e-06,1.0972717063850723e-05,0.0,0.0,0.04840216413140297,0.08382023870944977,0.00016812753165140748,,,,,,,,,
11,95,,,,,,,,,,0.007390022277832031,0.007390022277832031,8.135591997415759e-06,1.2893147868453525e-05,0.0,0.0,0.029474619776010513,0.05103631317615509,8.065965084824711e-05
11,95,0.005588173866271973,0.005588173866271973,7.807358997524716e-06,1.2196267562103458e-05,0.0,0.0,0.037291232496500015,0.06457550078630447,9.974936256185174e-05,,,,,,,,,
12,103,,,,,,,,,,0.0009622573852539062,0.0009622573852539062,8.19220076664351e-06,1.290111686103046e-05,0.0,0.0,0.03231559693813324,0.055956143885850906,3.223700696253218e-05
12,103,0.004488825798034668,0.004488825798034668,8.067351700447034e-06,1.257514759345213e-05,0.0,0.0,0.03676602244377136,0.06366539746522903,7.824632484698668e-05,,,,,,,,,
13,111,,,,,,,,,,0.0007839202880859375,0.0007839202880859375,8.181800694728736e-06,1.285477355850162e-05,0.0,0.0,6.668488640571013e-05,0.00010608568118186668,6.14808811860712e-07
13,111,0.0032501220703125,0.0032501220703125,8.029761374928057e-06,1.2516780770965852e-05,0.0,0.0,0.021355725824832916,0.03697351738810539,3.594251029426232e-05,,,,,,,,,
14,119,,,,,,,,,,0.001384735107421875,0.001384735107421875,8.22237507236423e-06,1.2976604921277612e-05,0.0,0.0,0.015835916623473167,0.027412833645939827,9.432294064026792e-06
14,119,0.0029784440994262695,0.0029784440994262695,8.040069587877952e-06,1.2514896297943778e-05,0.0,0.0,0.02653043158352375,0.04593653231859207,3.750420728465542e-05,,,,,,,,,
15,127,,,,,,,,,,0.0018939971923828125,0.0018939971923828125,8.162654012267012e-06,1.2854798114858568e-05,0.0,0.0,0.013378668576478958,0.023156490176916122,8.94962067832239e-06
15,127,0.0027108192443847656,0.0027108192443847656,8.043616617214866e-06,1.2530853382486384e-05,0.0,0.0,0.022853020578622818,0.03956732153892517,3.077608926105313e-05,,,,,,,,,
16,135,,,,,,,,,,0.0018129348754882812,0.0018129348754882812,8.03154762252234e-06,1.2670393516600598e-05,0.0,0.0,0.007538000587373972,0.0130407540127635,4.987506144971121e-06
16,135,0.002735614776611328,0.002735614776611328,7.932332664495334e-06,1.2363655514491256e-05,0.0,0.0,0.023895861580967903,0.04137375205755234,2.9225744583527558e-05,,,,,,,,,
17,143,,,,,,,,,,0.0009469985961914062,0.0009469985961914062,7.881526471464895e-06,1.2414411685313098e-05,0.0,0.0,0.006383060943335295,0.01104075089097023,2.115942152158823e-06
17,143,0.0030295848846435547,0.0030295848846435547,7.810122951923404e-06,1.2151915143476799e-05,0.0,0.0,0.015455176122486591,0.026754168793559074,2.4836204829625785e-05,,,,,,,,,
18,151,,,,,,,,,,0.0016374588012695312,0.0016374588012695312,7.818492122169118e-06,1.2297657121962402e-05,0.0,0.0,0.008687390945851803,0.01503165066242218,4.940927738061873e-06
18,151,0.0029048919677734375,0.0029048919677734375,7.738555723335594e-06,1.2051454177708365e-05,0.0,0.0,0.011353183537721634,0.019649721682071686,1.661688474996481e-05,,,,,,,,,
19,159,,,,,,,,,,0.0011262893676757812,0.0011262893676757812,7.766981980239507e-06,1.2237172086315695e-05,0.0,0.0,0.011480852961540222,0.019870193675160408,5.216923000261886e-06
19,159,0.0030553340911865234,0.0030553340911865234,7.650663974345662e-06,1.1909531167475507e-05,0.0,0.0,0.015696151182055473,0.027171922847628593,2.2987942429608665e-05,,,,,,,,,
20,167,,,,,,,,,,0.0015954971313476562,0.0015954971313476562,7.69291818869533e-06,1.209881065733498e-05,0.0,0.0,0.004180115181952715,0.007225121837109327,3.0677813356305705e-06
20,167,0.00274658203125,0.00274658203125,7.593048849230399e-06,1.1814178833446931e-05,0.0,0.0,0.01809150166809559,0.03132064640522003,2.2105235984781757e-05,,,,,,,,,
21,175,,,,,,,,,,0.0027151107788085938,0.0027151107788085938,7.73617830418516e-06,1.2172057722636964e-05,0.0,0.0,0.013784635812044144,0.023860599845647812,1.3065257007838227e-05
21,175,0.0028727054595947266,0.0028727054595947266,7.5962084338243585e-06,1.1817039194284007e-05,0.0,0.0,0.015958271920681,0.027626220136880875,2.0994761143811047e-05,,,,,,,,,
22,183,,,,,,,,,,0.0017747879028320312,0.0017747879028320312,7.693034604017157e-06,1.2095643796783406e-05,0.0,0.0,0.032694682478904724,0.056613899767398834,3.5201355785829946e-05
22,183,0.0028324127197265625,0.0028324127197265625,7.556212494819192e-06,1.175924717244925e-05,0.0,0.0,0.023366272449493408,0.040456902235746384,3.1019520974950865e-05,,,,,,,,,
23,191,,,,,,,,,,0.00079345703125,0.00079345703125,7.674106200283859e-06,1.2060037079208996e-05,0.0,0.0,0.013612842187285423,0.02356303110718727,6.181883236422436e-06
23,191,0.0030558109283447266,0.0030558109283447266,7.48046841181349e-06,1.1641903256531805e-05,0.0,0.0,0.01865805685520172,0.03230217844247818,2.6430987418279983e-05,,,,,,,,,
24,199,,,,,,,,,,0.0033864974975585938,0.0033864974975585938,7.71187842474319e-06,1.214067106047878e-05,0.0,0.0,0.01720418408513069,0.02978317067027092,2.033888449659571e-05
24,199,0.003789067268371582,0.003789067268371582,7.5466105045052245e-06,1.1740900845325086e-05,0.0,0.0,0.012190684676170349,0.021100685000419617,2.3196214897325262e-05,,,,,,,,,
25,207,,,,,,,,,,0.0006990432739257812,0.0006990432739257812,7.711739272053819e-06,1.2115694516978692e-05,0.0,0.0,0.007067081984132528,0.012225434184074402,1.9834205886581913e-06
25,207,0.00313568115234375,0.00313568115234375,7.5659404501493555e-06,1.1761072528315708e-05,0.0,0.0,0.0115156015381217,0.01993127539753914,1.884224548120983e-05,,,,,,,,,
26,215,,,,,,,,,,0.0009336471557617188,0.0009336471557617188,7.690326128795277e-06,1.2109767340007238e-05,0.0,0.0,0.004418430849909782,0.0076383682899177074,1.4552903166986653e-06
26,215,0.003221273422241211,0.003221273422241211,7.516588993894402e-06,1.1689287930494174e-05,0.0,0.0,0.0036633664276450872,0.006330857053399086,1.4322426068247296e-05,,,,,,,,,
27,223,,,,,,,,,,0.0035877227783203125,0.0035877227783203125,7.800478670105804e-06,1.2268036698515061e-05,0.0,0.0,0.008792518638074398,0.015214034356176853,1.5186573364189826e-05
27,223,0.0032650232315063477,0.0032650232315063477,7.6118089964438695e-06,1.1838742466352414e-05,0.0,0.0,0.005664701107889414,0.009797191247344017,1.5151550542213954e-05,,,,,,,,,
28,231,,,,,,,,,,0.0009431838989257812,0.0009431838989257812,7.632289452885743e-06,1.2031955520797055e-05,0.0,0.0,0.008613880723714828,0.014905128628015518,3.111369323960389e-06
28,231,0.0026483535766601562,0.0026483535766601562,7.572355571028311e-06,1.1779396118072327e-05,0.0,0.0,0.006865005940198898,0.011877289973199368,1.2725770830002148e-05,,,,,,,,,
29,239,,,,,,,,,,0.0001468658447265625,0.0001468658447265625,7.519436167058302e-06,1.1849655493278988e-05,0.0,0.0,0.0004194550565443933,0.0007120682275854051,2.6780401896076e-08
29,239,0.0030434131622314453,0.0030434131622314453,7.4460731411818415e-06,1.1580356840568129e-05,0.0,0.0,0.0049049025401473045,0.008481409400701523,1.2924553630000446e-05,,,,,,,,,
30,247,,,,,,,,,,0.0023736953735351562,0.0023736953735351562,7.5856223702430725e-06,1.1954550245718565e-05,0.0,0.0,0.002373197814449668,0.004096108954399824,5.802353371109348e-06
30,247,0.0030977725982666016,0.0030977725982666016,7.439526143571129e-06,1.1565683962544426e-05,0.0,0.0,0.0029897866770625114,0.0051654609851539135,1.2793869245797396e-05,,,,,,,,,
31,255,,,,,,,,,,0.0006227493286132812,0.0006227493286132812,7.488182745873928e-06,1.1813659511972219e-05,0.0,0.0,0.000910111702978611,0.0015618700999766588,4.1235065850742103e-07
31,255,0.0031641721725463867,0.0031641721725463867,7.393572559521999e-06,1.1498428648337722e-05,0.0,0.0,0.0031361363362520933,0.005417860113084316,1.375378906232072e-05,,,,,,,,,
32,263,,,,,,,,,,0.0018749237060546875,0.0018749237060546875,7.508695034630364e-06,1.1850104783661664e-05,0.0,0.0,0.00021787735749967396,0.00036425789585337043,3.5168061458534794e-06
32,263,0.0026880502700805664,0.0026880502700805664,7.35488856662414e-06,1.1422565876273438e-05,0.0,0.0,0.0015339303063228726,0.002643290674313903,9.503366527496837e-06,,,,,,,,,
33,271,,,,,,,,,,0.0022945404052734375,0.0022945404052734375,7.527686193498084e-06,1.18596653919667e-05,0.0,0.0,0.0009185478556901217,0.0015767933800816536,5.289919045026181e-06
33,271,0.002778291702270508,0.002778291702270508,7.386372089968063e-06,1.1479602108011022e-05,0.0,0.0,0.0019366325577721,0.003340924857184291,1.0202803423453588e-05,,,,,,,,,
34,279,,,,,,,,,,0.0008783340454101562,0.0008783340454101562,7.397223726002267e-06,1.1661390090011992e-05,0.0,0.0,0.00276705133728683,0.004778023809194565,9.999017720474512e-07
34,279,0.0032232999801635742,0.0032232999801635742,7.327671482926235e-06,1.1396160516596865e-05,0.0,0.0,0.001103923306800425,0.0018985735950991511,1.3952101653558202e-05,,,,,,,,,
35,287,,,,,,,,,,0.0032243728637695312,0.0032243728637695312,7.515036031691125e-06,1.1792750228778459e-05,0.0,0.0,0.0013999431394040585,0.0024105499032884836,1.0454827133798972e-05
35,287,0.003475785255432129,0.003475785255432129,7.369510512944544e-06,1.145668557001045e-05,0.0,0.0,0.002022003987804055,0.003488273825496435,1.6323258023476228e-05,,,,,,,,,
36,295,,,,,,,,,,0.000453948974609375,0.000453948974609375,7.4258305176044814e-06,1.1664034900604747e-05,0.0,0.0,0.0010413909330964088,0.0017893834738060832,2.3822465777811885e-07
36,295,0.0026189088821411133,0.0026189088821411133,7.344615369220264e-06,1.1416106644901447e-05,0.0,0.0,0.002082968130707741,0.0035939060617238283,9.31377235247055e-06,,,,,,,,,
37,303,,,,,,,,,,0.0007486343383789062,0.0007486343383789062,7.4548725024214946e-06,1.1708754755090922e-05,0.0,0.0,0.004621812608093023,0.007990256883203983,1.1990324537691777e-06
37,303,0.003443479537963867,0.003443479537963867,7.240902959892992e-06,1.1252821423113346e-05,0.0,0.0,0.0029904881957918406,0.005165685433894396,1.5661828001611866e-05,,,,,,,,,
38,311,,,,,,,,,,0.0030717849731445312,0.0030717849731445312,7.572467438876629e-06,1.1898716365976725e-05,0.0,0.0,0.0004780928429681808,0.0008145001484081149,9.442638656764757e-06
38,311,0.003185749053955078,0.003185749053955078,7.347909104282735e-06,1.1414474101911765e-05,0.0,0.0,0.003857050556689501,0.0066672456450760365,1.4083129826758523e-05,,,,,,,,,
39,319,,,,,,,,,,0.0009317398071289062,0.0009317398071289062,7.430045116052497e-06,1.1666594218695536e-05,0.0,0.0,0.002055974444374442,0.0035467660054564476,9.940706604538718e-07
39,319,0.003265380859375,0.003265380859375,7.323589670704678e-06,1.1380077921785414e-05,0.0,0.0,0.0019379244185984135,0.003342940704897046,1.311206870013848e-05,,,,,,,,,
40,327,,,,,,,,,,0.0013780593872070312,0.0013780593872070312,7.4979539022024255e-06,1.1789787095040083e-05,0.0,0.0,0.002328850096091628,0.004019234795123339,2.0607292299246183e-06
40,327,0.002804398536682129,0.002804398536682129,7.299084700207459e-06,1.1342116522428114e-05,0.0,0.0,0.0023771245032548904,0.004103471525013447,1.0711572031141259e-05,,,,,,,,,
41,335,,,,,,,,,,0.0015726089477539062,0.0015726089477539062,7.5152611316298135e-06,1.180279014079133e-05,0.0,0.0,0.0021045373287051916,0.003631000639870763,2.6050799988297513e-06
41,335,0.002917766571044922,0.002917766571044922,7.317308245546883e-06,1.136540413426701e-05,0.0,0.0,0.0011572109069675207,0.0019914251752197742,1.1284118954790756e-05,,,,,,,,,
42,343,,,,,,,,,,0.0028619766235351562,0.0028619766235351562,7.568167802673997e-06,1.1910224202438258e-05,0.0,0.0,0.0005309265106916428,0.0009056736598722637,8.19925480755046e-06
42,343,0.0035746097564697266,0.0035746097564697266,7.3998717198264785e-06,1.1504913345561363e-05,0.0,0.0,0.0022016428411006927,0.003799608675763011,1.5585428627673537e-05,,,,,,,,,
43,351,,,,,,,,,,0.00012874603271484375,0.00012874603271484375,7.389462552964687e-06,1.1660325981210917e-05,0.0,0.0,0.0005345340468920767,0.0009117923909798265,2.5025157057712022e-08
43,351,0.002525806427001953,0.002525806427001953,7.330204425670672e-06,1.1396698027965613e-05,0.0,0.0,0.00098032399546355,0.0016842375043779612,9.525179848424159e-06,,,,,,,,,
44,359,,,,,,,,,,0.0016384124755859375,0.0016384124755859375,7.500585070374655e-06,1.1796816579590086e-05,0.0,0.0,0.002266812836751342,0.00391146307811141,2.837530018950929e-06
44,359,0.003193497657775879,0.003193497657775879,7.314396043511806e-06,1.1371399523341097e-05,0.0,0.0,0.002359891077503562,0.004073590971529484,1.3624263374367729e-05,,,,,,,,,
45,367,,,,,,,,,,0.0012683868408203125,0.0012683868408203125,7.5101620495843235e-06,1.1827792150143068e-05,0.0,0.0,0.0003301512624602765,0.0005580636789090931,1.612059463695914e-06
45,367,0.0028104782104492188,0.0028104782104492188,7.3397040978306904e-06,1.1410422303015366e-05,0.0,0.0,0.002160783624276519,0.0037287320010364056,1.0531265616009478e-05,,,,,,,,,
46,375,,,,,,,,,,0.0011625289916992188,0.0011625289916992188,7.4507593126327265e-06,1.1735907719412353e-05,0.0,0.0,0.0004023234941996634,0.0006829950143583119,1.3562761296270764e-06
46,375,0.002901315689086914,0.002901315689086914,7.3202218118240125e-06,1.1377840564819053e-05,0.0,0.0,0.001769852009601891,0.00305166095495224,1.115462691814173e-05,,,,,,,,,
47,383,,,,,,,,,,0.0023174285888671875,0.0023174285888671875,7.5294638008926995e-06,1.182350479211891e-05,0.0,0.0,0.0006590852863155305,0.001127364463172853,5.383324150898261e-06
47,383,0.003094792366027832,0.003094792366027832,7.375380391749786e-06,1.1467503099993337e-05,0.0,0.0,0.0014510978944599628,0.002499758033081889,1.2246242476976477e-05,,,,,,,,,
48,391,,,,,,,,,,0.00032329559326171875,0.00032329559326171875,7.40376617613947e-06,1.165583853435237e-05,0.0,0.0,0.006921680644154549,0.011973719112575054,1.5383553773062886e-06
48,391,0.0036695003509521484,0.0036695003509521484,7.272916263900697e-06,1.130196233134484e-05,0.0,0.0,0.0016567527782171965,0.0028555826283991337,1.7092812413466163e-05,,,,,,,,,
49,399,,,,,,,,,,0.0027923583984375,0.0027923583984375,7.504597306251526e-06,1.1802525477833115e-05,0.0,0.0,0.006024052854627371,0.010419340804219246,8.883031114237383e-06
49,399,0.002779841423034668,0.002779841423034668,7.349032784986775e-06,1.1427923709561583e-05,0.0,0.0,0.00383526599034667,0.006628952454775572,1.0963822205667384e-05,,,,,,,,,
